110;36;0;30;7;0;0;7;0;0;47;0;(1,12);(2,21);(3,36);(4,21);(5,21);(6,58);(7,57);(8,57);(9,56);(10,45);(11,55);(12,21);(13,49);(14,27);(15,21);(16,36);(17,38);(18,52);(19,0);(20,16);(21,50);(22,49);(23,49);(24,0);(25,20);(26,0);(27,35);(28,8);(29,44);(30,0);(31,0);(32,49);(33,42);(34,22);(35,24);(36,6);(37,50);(38,8);(39,46);(40,17);(41,52);(42,53);(43,49);(44,53);(45,15);(46,54);(47,49);(48,40);(49,53);(50,20);
120;37;0;30;6;0;0;7;0;0;52;0;(1,12);(2,21);(3,36);(4,21);(5,21);(6,61);(7,62);(8,59);(9,61);(10,45);(11,60);(12,21);(13,49);(14,27);(15,21);(16,36);(17,38);(18,56);(19,0);(20,16);(21,54);(22,54);(23,54);(24,0);(25,20);(26,0);(27,35);(28,8);(29,44);(30,0);(31,0);(32,55);(33,42);(34,22);(35,24);(36,6);(37,56);(38,8);(39,46);(40,17);(41,58);(42,59);(43,49);(44,59);(45,15);(46,60);(47,49);(48,40);(49,53);(50,20);
130;36;0;30;7;0;0;7;0;0;56;0;(1,12);(2,21);(3,36);(4,21);(5,21);(6,62);(7,67);(8,59);(9,62);(10,45);(11,65);(12,21);(13,49);(14,27);(15,21);(16,36);(17,38);(18,62);(19,0);(20,16);(21,54);(22,54);(23,59);(24,0);(25,20);(26,0);(27,35);(28,8);(29,44);(30,0);(31,0);(32,60);(33,42);(34,22);(35,24);(36,6);(37,62);(38,8);(39,46);(40,17);(41,64);(42,64);(43,49);(44,65);(45,15);(46,66);(47,49);(48,40);(49,53);(50,20);
140;37;0;30;6;0;0;7;0;0;61;0;(1,12);(2,21);(3,36);(4,21);(5,21);(6,62);(7,69);(8,59);(9,62);(10,45);(11,71);(12,21);(13,49);(14,27);(15,21);(16,36);(17,38);(18,68);(19,0);(20,16);(21,54);(22,54);(23,65);(24,0);(25,20);(26,0);(27,35);(28,8);(29,44);(30,0);(31,0);(32,66);(33,42);(34,22);(35,24);(36,6);(37,68);(38,8);(39,46);(40,17);(41,70);(42,69);(43,49);(44,69);(45,15);(46,70);(47,49);(48,40);(49,53);(50,20);
150;36;0;29;7;0;1;7;0;0;66;0;(1,12);(2,21);(3,36);(4,21);(5,21);(6,62);(7,71);(8,59);(9,62);(10,45);(11,77);(12,21);(13,49);(14,27);(15,21);(16,36);(17,38);(18,73);(19,0);(20,16);(21,54);(22,54);(23,66);(24,0);(25,20);(26,0);(27,35);(28,8);(29,44);(30,0);(31,0);(32,69);(33,42);(34,22);(35,24);(36,6);(37,70);(38,8);(39,46);(40,17);(41,73);(42,69);(43,49);(44,73);(45,17);(46,75);(47,49);(48,40);(49,53);(50,20);
160;36;0;29;7;0;1;7;0;0;70;0;(1,12);(2,21);(3,36);(4,21);(5,21);(6,62);(7,73);(8,59);(9,62);(10,45);(11,81);(12,21);(13,49);(14,27);(15,21);(16,36);(17,38);(18,77);(19,0);(20,16);(21,54);(22,54);(23,66);(24,0);(25,20);(26,0);(27,35);(28,8);(29,44);(30,0);(31,0);(32,74);(33,42);(34,22);(35,24);(36,6);(37,76);(38,8);(39,46);(40,17);(41,76);(42,69);(43,49);(44,77);(45,21);(46,79);(47,49);(48,40);(49,53);(50,20);
170;36;0;29;7;0;1;7;0;0;75;0;(1,12);(2,21);(3,36);(4,21);(5,21);(6,62);(7,75);(8,59);(9,62);(10,45);(11,84);(12,21);(13,49);(14,27);(15,21);(16,36);(17,38);(18,81);(19,0);(20,16);(21,54);(22,54);(23,66);(24,0);(25,20);(26,0);(27,35);(28,8);(29,44);(30,0);(31,0);(32,78);(33,42);(34,22);(35,24);(36,6);(37,80);(38,8);(39,46);(40,17);(41,78);(42,69);(43,49);(44,80);(45,23);(46,81);(47,49);(48,40);(49,53);(50,20);
180;36;0;29;7;0;1;7;0;0;80;0;(1,12);(2,21);(3,36);(4,21);(5,21);(6,62);(7,79);(8,59);(9,62);(10,45);(11,88);(12,21);(13,49);(14,27);(15,21);(16,36);(17,38);(18,81);(19,0);(20,16);(21,58);(22,54);(23,66);(24,0);(25,20);(26,0);(27,35);(28,8);(29,44);(30,0);(31,0);(32,82);(33,42);(34,22);(35,24);(36,6);(37,84);(38,8);(39,46);(40,17);(41,78);(42,69);(43,49);(44,85);(45,28);(46,85);(47,49);(48,40);(49,53);(50,20);
190;35;0;29;8;0;1;7;0;0;85;0;(1,12);(2,21);(3,36);(4,21);(5,21);(6,62);(7,83);(8,59);(9,62);(10,45);(11,92);(12,21);(13,49);(14,27);(15,21);(16,36);(17,38);(18,84);(19,0);(20,16);(21,61);(22,54);(23,66);(24,0);(25,20);(26,0);(27,35);(28,8);(29,44);(30,0);(31,0);(32,84);(33,42);(34,22);(35,24);(36,6);(37,88);(38,8);(39,46);(40,17);(41,78);(42,69);(43,49);(44,85);(45,33);(46,91);(47,49);(48,40);(49,53);(50,20);
200;33;0;26;10;0;4;7;0;0;89;0;(1,12);(2,21);(3,36);(4,21);(5,21);(6,62);(7,85);(8,59);(9,62);(10,45);(11,92);(12,21);(13,49);(14,27);(15,21);(16,36);(17,38);(18,85);(19,0);(20,16);(21,62);(22,54);(23,66);(24,0);(25,20);(26,1);(27,35);(28,8);(29,44);(30,0);(31,1);(32,85);(33,42);(34,22);(35,24);(36,6);(37,88);(38,8);(39,46);(40,18);(41,78);(42,69);(43,49);(44,85);(45,33);(46,91);(47,49);(48,40);(49,53);(50,20);
210;31;0;24;12;0;6;7;0;0;94;0;(1,12);(2,21);(3,36);(4,21);(5,21);(6,62);(7,85);(8,59);(9,62);(10,45);(11,92);(12,21);(13,49);(14,27);(15,21);(16,36);(17,38);(18,85);(19,0);(20,16);(21,62);(22,54);(23,66);(24,0);(25,20);(26,1);(27,36);(28,8);(29,44);(30,0);(31,1);(32,85);(33,42);(34,23);(35,24);(36,6);(37,88);(38,8);(39,46);(40,18);(41,78);(42,69);(43,49);(44,85);(45,33);(46,91);(47,49);(48,40);(49,53);(50,20);
