10;26;10;25;12;25;1;1;1;1;0;1;1;0;1;0;1.0843901684474149;0;(1,1);(2,1);(3,1);(4,1);(5,1);(6,1);(7,1);(8,1);(9,0);(10,0);(11,1);(12,0);(13,1);(14,1);(15,1);(16,0);(17,1);(18,1);(19,1);(20,1);(21,1);(22,1);(23,1);(24,1);(25,1);(26,1);(27,1);(28,1);(29,1);(30,1);(31,0);(32,1);(33,1);(34,1);(35,1);(36,1);(37,1);(38,0);(39,1);(40,1);
20;25;11;25;10;25;0;2;1;2;0;0;2;0;2;0;2.9783023451706163;0;(1,1);(2,1);(3,1);(4,1);(5,1);(6,1);(7,1);(8,1);(9,0);(10,0);(11,1);(12,0);(13,1);(14,1);(15,2);(16,0);(17,1);(18,1);(19,1);(20,1);(21,1);(22,1);(23,1);(24,1);(25,1);(26,1);(27,1);(28,1);(29,1);(30,1);(31,1);(32,1);(33,1);(34,1);(35,1);(36,1);(37,1);(38,0);(39,1);(40,1);
30;25;10;25;10;25;1;1;1;1;0;0;3;0;3;0;5.041332208389087;0;(1,1);(2,1);(3,1);(4,1);(5,1);(6,1);(7,1);(8,1);(9,0);(10,0);(11,1);(12,0);(13,1);(14,1);(15,2);(16,1);(17,1);(18,1);(19,1);(20,1);(21,1);(22,1);(23,1);(24,1);(25,1);(26,1);(27,2);(28,1);(29,1);(30,1);(31,1);(32,1);(33,1);(34,1);(35,1);(36,1);(37,1);(38,1);(39,2);(40,1);
40;26;9;25;10;25;0;2;0;2;0;1;2;0;3;0;7.3598466411508445;0;(1,1);(2,1);(3,2);(4,1);(5,1);(6,1);(7,1);(8,1);(9,0);(10,0);(11,1);(12,1);(13,1);(14,1);(15,3);(16,1);(17,1);(18,1);(19,1);(20,1);(21,1);(22,1);(23,1);(24,1);(25,1);(26,1);(27,2);(28,1);(29,1);(30,1);(31,1);(32,1);(33,1);(34,1);(35,1);(36,1);(37,1);(38,1);(39,2);(40,1);
50;26;9;26;9;25;1;1;0;2;0;1;2;0;3;0;9.707388387397106;0;(1,1);(2,1);(3,2);(4,1);(5,1);(6,1);(7,1);(8,2);(9,0);(10,0);(11,1);(12,1);(13,1);(14,1);(15,3);(16,1);(17,1);(18,1);(19,1);(20,1);(21,1);(22,1);(23,1);(24,1);(25,1);(26,1);(27,2);(28,1);(29,1);(30,1);(31,2);(32,1);(33,1);(34,1);(35,1);(36,1);(37,1);(38,1);(39,2);(40,1);
60;26;8;26;8;25;1;2;1;2;0;1;2;1;2;0;11.815246566697883;0;(1,1);(2,1);(3,2);(4,1);(5,1);(6,1);(7,2);(8,2);(9,1);(10,0);(11,1);(12,1);(13,1);(14,1);(15,4);(16,1);(17,1);(18,1);(19,1);(20,1);(21,1);(22,1);(23,1);(24,1);(25,1);(26,1);(27,2);(28,1);(29,1);(30,1);(31,2);(32,1);(33,1);(34,1);(35,1);(36,1);(37,1);(38,1);(39,2);(40,1);
70;27;8;25;10;25;1;1;1;1;0;0;3;0;3;0;13.961089093849452;0;(1,1);(2,1);(3,2);(4,1);(5,1);(6,1);(7,2);(8,2);(9,1);(10,1);(11,1);(12,1);(13,1);(14,1);(15,4);(16,1);(17,1);(18,1);(19,1);(20,1);(21,1);(22,1);(23,1);(24,1);(25,1);(26,1);(27,2);(28,1);(29,1);(30,1);(31,2);(32,1);(33,1);(34,1);(35,1);(36,1);(37,1);(38,1);(39,3);(40,1);
80;26;7;25;8;25;0;2;1;1;0;1;4;1;4;0;16.32641460935393;0;(1,1);(2,1);(3,2);(4,1);(5,1);(6,1);(7,3);(8,2);(9,1);(10,1);(11,2);(12,1);(13,1);(14,1);(15,4);(16,1);(17,2);(18,1);(19,1);(20,1);(21,1);(22,1);(23,1);(24,1);(25,1);(26,1);(27,2);(28,1);(29,1);(30,1);(31,2);(32,1);(33,1);(34,1);(35,1);(36,1);(37,1);(38,1);(39,3);(40,2);
90;26;6;25;7;25;1;2;0;3;0;0;5;0;5;0;18.529609050650258;0;(1,1);(2,1);(3,2);(4,1);(5,1);(6,1);(7,3);(8,3);(9,1);(10,1);(11,2);(12,1);(13,1);(14,1);(15,4);(16,1);(17,2);(18,1);(19,1);(20,1);(21,1);(22,1);(23,1);(24,2);(25,1);(26,1);(27,2);(28,1);(29,1);(30,1);(31,2);(32,1);(33,1);(34,1);(35,1);(36,1);(37,2);(38,1);(39,3);(40,2);
100;28;4;26;6;25;2;1;1;2;0;2;3;1;4;0;20.941547549459642;0;(1,1);(2,1);(3,2);(4,2);(5,1);(6,1);(7,3);(8,3);(9,1);(10,1);(11,2);(12,1);(13,1);(14,2);(15,4);(16,1);(17,2);(18,1);(19,1);(20,1);(21,1);(22,1);(23,1);(24,2);(25,1);(26,1);(27,2);(28,1);(29,1);(30,1);(31,2);(32,1);(33,1);(34,1);(35,1);(36,1);(37,3);(38,1);(39,3);(40,2);
