1360;0;0;-4;22;1;22;7;0;13
1370;0;0;-4;22;1;22;7;0;13
1380;0;0;-4;23;0;22;7;0;13
1390;0;0;-4;23;0;22;7;0;13
1400;0;0;-4;22;1;22;7;0;13
1410;0;0;-4;22;1;22;7;0;13
1420;0;0;-4;23;0;22;7;0;13
1430;0;0;-4;23;0;22;7;0;13
1440;0;0;-4;23;0;22;7;0;13
1450;0;0;-4;23;0;22;7;0;13
1460;0;0;-4;22;1;21;7;0;14
1470;0;0;-4;21;2;21;7;0;14
1480;0;0;-4;21;2;21;7;0;14
1490;0;0;-4;22;1;21;7;0;14
1500;0;0;-4;21;2;21;7;0;14
1510;0;0;-4;22;0;21;8;0;14
1520;0;0;-4;22;0;21;8;0;14
1530;0;0;-4;21;1;21;8;0;14
1540;0;0;-4;20;2;20;8;0;15
1550;0;0;-4;21;1;20;8;0;15
1560;0;0;-4;19;3;19;8;0;16
1570;0;0;-4;18;1;17;11;0;18
1580;0;0;-4;17;1;17;12;0;18
1590;0;0;-4;18;0;17;12;0;18
1600;0;0;-4;17;1;17;12;0;18
1610;0;0;-4;17;1;17;12;0;18
1620;0;0;-4;17;1;17;12;0;18
1630;0;0;-4;17;1;17;12;0;18
1640;0;0;-4;17;1;17;12;0;18
1650;0;0;-4;18;0;17;12;0;18
1660;0;0;-4;17;1;17;12;0;18
1670;0;0;-4;18;0;17;12;0;18
1680;0;0;-4;17;1;17;12;0;18
1690;0;0;-4;17;1;17;12;0;18
1700;0;0;-4;17;1;17;12;0;18
1710;0;0;-4;15;2;15;13;0;20
1720;0;0;-4;15;2;15;13;0;20
1730;0;0;-4;16;1;15;13;0;19
1740;0;0;-4;13;3;12;14;0;22
1750;0;0;-4;13;1;12;16;0;22
1760;0;0;-4;13;0;12;17;0;22
1770;0;0;-4;12;1;12;17;0;21
1780;0;0;-4;13;0;12;17;0;21
1790;0;0;-4;12;1;12;17;0;21
1800;0;0;-4;13;0;12;17;0;21
1810;0;0;-4;13;0;12;17;0;21
1820;0;0;-4;13;0;12;17;0;21
1830;0;0;-4;13;0;12;17;0;21
1840;0;0;-4;12;1;11;17;0;21
1850;0;0;-4;11;2;11;17;0;20
1860;0;0;-4;11;2;11;17;0;20
1870;0;0;-4;11;2;11;17;0;20
1880;0;0;-4;12;1;11;17;0;20
1890;0;0;-4;11;2;11;17;0;20
1900;0;0;-4;11;2;11;17;0;20
1910;0;0;-4;11;2;11;17;0;20
1920;0;0;-4;10;1;10;19;0;20
1930;0;0;-4;11;0;10;19;0;20
1940;0;0;-4;11;0;10;19;0;20
1950;0;0;-4;11;0;10;19;0;20
1960;0;0;-4;8;1;8;21;0;22
1970;0;0;-4;9;0;8;21;0;22
1980;0;0;-4;9;0;8;21;0;22
1990;0;0;-4;8;1;8;21;0;22
2000;0;0;-4;6;3;6;21;0;24
2010;0;0;-4;6;2;6;22;0;24
2020;0;0;-4;7;0;6;23;0;24
2030;0;0;-4;6;1;6;23;0;24
2040;0;0;-4;6;1;6;23;0;24
2050;0;0;-4;6;1;6;23;0;24
2060;0;0;-4;6;1;6;23;0;24
2070;0;0;-4;6;1;6;23;0;24
2080;0;0;-4;6;1;6;23;0;24
2090;0;0;-4;6;1;5;23;0;25
2100;0;0;-4;6;1;5;23;0;25
2110;0;0;-4;4;2;3;24;0;27
2120;0;0;-4;4;1;3;25;0;27
2130;0;0;-4;4;1;3;25;0;27
2140;0;0;-4;3;1;3;26;0;27
2150;0;0;-4;4;0;3;26;0;27
2160;0;0;-4;4;0;3;26;0;26
2170;0;0;-4;4;0;3;26;0;26
2180;0;0;-4;3;1;3;26;0;26
2190;0;0;-4;3;1;3;25;1;25
2200;0;0;-4;3;1;3;25;1;25
2210;0;0;-4;3;1;3;26;0;25
2220;0;0;-4;4;0;3;25;1;25
2230;0;0;-4;3;1;3;26;0;25
2240;0;0;-4;3;1;3;26;0;25
2250;0;0;-4;3;1;3;25;1;25
2260;0;0;-4;3;1;3;26;0;25
2270;0;0;-4;3;1;3;25;1;25
2280;0;0;-4;4;0;3;25;1;25
2290;0;0;-4;3;1;3;26;0;25
